Company,Industry,Website,Why_Selected,Verification_Source,Notes
Ather Energy,Electric Vehicles (2-Wheeler),https://www.atherenergy.com,"Bengaluru-headquartered EV OEM designing and manufacturing smart electric scooters and the Ather Grid charging network; strong in-house engineering and manufacturing culture.","Company website; Wikipedia; business directories","Founder-led (Tarun Mehta & Swapnil Jain); vertically integrated hardware, software, and charging infrastructure; one of India’s strongest EV execution stories."
Pixxel,Space Tech / Hyperspectral Imaging,https://www.pixxel.space,"Builds a proprietary hyperspectral Earth-observation satellite constellation and analytics platform with manufacturing and operations based in Bengaluru.","Company website; startup/media profiles","Founder-led deeptech startup with strong IP in sensors, satellite systems and analytics; operates a major satellite manufacturing facility in Bengaluru."
Bellatrix Aerospace,Aerospace / Space Propulsion,https://bellatrix.aero,"Develops green in-space propulsion systems and launch technologies; incubated at IISc Bengaluru and deeply connected to India’s space ecosystem.","Company website; investor pages; interviews","Science-heavy product company focused on proprietary propulsion technologies including Hall thrusters and plasma propulsion systems."
Ultraviolette Automotive,Electric Vehicles (Performance),https://www.ultraviolette.com,"Designs and manufactures high-performance electric motorcycles with connected systems and in-house EV platforms.","Company website; press coverage","Bengaluru-based EV startup with strong engineering culture, manufacturing operations and export ambitions."
Systemantics,Industrial Robotics / Cobots,https://www.systemantics.com,"Designs and manufactures collaborative industrial robots (cobots) focused on affordable and flexible factory automation.","Company website; LinkedIn; industrial directories","Long-running Bengaluru robotics company with strong robotics R&D and deployment capabilities across automotive, electronics and pharma industries."
Mowito,Robotics Software / Automation,https://www.mowito.in,"Builds AI-based robotic software and automation systems that allow industrial robots to learn manufacturing tasks from demonstrations.","Company website; startup media; F6S","Deeptech robotics startup combining robotics, vision systems and learning-from-demonstration for factory automation."
SigTuple,MedTech / AI Diagnostics,https://www.sigtuple.com,"Automates pathology and microscopy workflows using AI-powered diagnostics platforms and digital slide scanners.","Company website; medtech articles","Founder-led medtech company integrating robotics, optics and AI into regulated healthcare products deployed in labs and hospitals."
Niramai Health Analytix,MedTech / Cancer Screening,https://www.niramai.com,"Develops AI-powered thermal imaging systems for non-invasive breast cancer screening.","Company website; VC/funding profiles","Product-focused medtech startup with proprietary Thermalytix technology and strong deployment across healthcare institutions."
Tricog Health,MedTech / Cardiac AI,https://www.tricog.com,"Provides AI-driven ECG interpretation and remote cardiac diagnostics through integrated hardware and cloud platforms.","Company website; health-tech coverage","Combines medical devices with cloud AI systems and operates across hospitals and clinics in multiple geographies."
Bugworks Research,Biotech / Drug Discovery,https://bugworksresearch.com,"Develops next-generation antibiotics targeting antimicrobial resistance through proprietary drug-discovery research.","Company website; biotech ecosystem profiles","Science-led Bengaluru biotech company focused on IP-driven pharmaceutical research rather than services."
